# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:31:48 2021
#
# Command line:   ./nu -e OPERA -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   OPERA
# Including the following AEDL files:
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                  -1.95           -0.86     40.62133539     40.72444308
                  -1.95           -0.81     41.51513918     41.60465884
                  -1.95           -0.76      42.3128422     42.39012247
                  -1.95           -0.71     43.02406094       43.090364
                  -1.95           -0.66     43.65774974     43.71423667
                  -1.95           -0.61     44.22212026     44.26984692
                  -1.95           -0.56     44.72462624     44.76454532
                  -1.95           -0.51     45.17198656     45.20495311
                  -1.95           -0.46     45.57022907     45.59700779
                  -1.95           -0.41     45.92474441      45.9460175
                  -1.95           -0.36     46.24034293     46.25671803
                  -1.95           -0.31     46.52131108     46.53332882
                  -1.95           -0.26     46.77146491     46.77960596
                  -1.95           -0.21     46.99419981     46.99889128
                  -1.95           -0.16      47.1925359      47.1941571
                  -1.95           -0.11     47.36915917     47.36804662
                  -1.95           -0.06     47.52645864     47.52290998
                  -1.95           -0.01     47.66656165      47.6608344
                   -1.9           -4.01     0.716726766    0.7152960559
                   -1.9           -3.96    0.7092861651    0.7077432526
                   -1.9           -3.91    0.7010461236    0.6993833618
                   -1.9           -3.86    0.6919361425    0.6901458269
                   -1.9           -3.81    0.6818836408    0.6799581624
                   -1.9           -3.76    0.6708151999      0.66874725
                   -1.9           -3.71    0.6586582799    0.6564411144
                   -1.9           -3.66    0.6453435212    0.6429713007
                   -1.9           -3.61    0.6308077708    0.6282759899
                   -1.9           -3.56    0.6149979922    0.6123040177
                   -1.9           -3.51    0.5978762486     0.595019987
                   -1.9           -3.46    0.5794259725      0.57641069
                   -1.9           -3.41    0.5596597671    0.5564930888
                   -1.9           -3.36     0.538629012    0.5353241298
                   -1.9           -3.31     0.516435575    0.5130126964
                   -1.9           -3.26    0.4932459574    0.4897340285
                   -1.9           -3.21    0.4693082205    0.4657469607
                   -1.9           -3.16    0.4449720574    0.4414143426
                   -1.9           -3.11    0.4207123786    0.4172270104
                   -1.9           -3.06    0.3971567728    0.3938316702
                   -1.9           -3.01    0.3751171837    0.3720630295
                   -1.9           -2.96    0.3556260963    0.3529804668
                   -1.9           -2.91    0.3399774594    0.3379094542
                   -1.9           -2.86    0.3297724649    0.3284878421
                   -1.9           -2.81    0.3269701553     0.326716957
                   -1.9           -2.76    0.3339426261     0.335017254
                   -1.9           -2.71    0.3535343147     0.356287976
                   -1.9           -2.66    0.3891244966     0.393969898
                   -1.9           -2.61    0.4446916372     0.452109739
                   -1.9           -2.56    0.5248776364    0.5354242038
                   -1.9           -2.51    0.6350492415    0.6493608339
                   -1.9           -2.46    0.7813529673    0.8001518915
                   -1.9           -2.41    0.9707587385     0.994856354
                   -1.9           -2.36     1.211086141     1.241383749
                   -1.9           -2.31     1.511005647     1.548492017
                   -1.9           -2.26     1.880005462     1.925749853
                   -1.9           -2.21     2.328312813     2.383452143
                   -1.9           -2.16     2.866756547     2.932475173
                   -1.9           -2.11     3.506556164     3.584056539
                   -1.9           -2.06     4.259020914      4.34948333
                   -1.9           -2.01     5.135142073     5.239671688
                   -1.9           -1.96     6.145062489      6.26462216
                   -1.9           -1.91     7.297411359     7.432739482
                   -1.9           -1.86     8.598500551     8.750014464
                   -1.9           -1.81     10.05139423     10.21908203
                   -1.9           -1.76     11.65488895     11.83819617
                   -1.9           -1.71     13.40247989     13.60020265
                   -1.9           -1.66     15.28144167     15.49164447
                   -1.9           -1.61     17.27221464     17.49219771
                   -1.9           -1.56     19.34834393     19.57468945
                   -1.9           -1.51     21.47723371     21.70595667
                   -1.9           -1.46     23.62190285     23.84871548
                   -1.9           -1.41     25.74371461     25.96438066
                   -1.9           -1.36     27.80572098     28.01643678
                   -1.9           -1.31     29.77594215     29.97365683
                   -1.9           -1.26     31.62980589     31.81240506
                   -1.9           -1.21     33.35122395     33.51754915
                   -1.9           -1.16     34.93227005     35.08200257
                   -1.9           -1.11     36.37185647     36.50532677
                   -1.9           -1.06     37.67397181     37.79195495
                   -1.9           -1.01     38.84594832     38.94948497
                   -1.9           -0.96      39.8970227     39.98728182
                   -1.9           -0.91     40.83727044     40.91545383
                   -1.9           -0.86     41.67688436     41.74416571
                   -1.9           -0.81     42.42572451     42.48321376
                   -1.9           -0.76     43.09306243     43.14178754
                   -1.9           -0.71     43.68745578     43.72835565
                   -1.9           -0.66     44.21670582     44.25062998
                   -1.9           -0.61     44.68786473       44.715577
                   -1.9           -0.56      45.1072713     45.12945549
                   -1.9           -0.51     45.48060108     45.49786759
                   -1.9           -0.46     45.81292252     45.82581518
                   -1.9           -0.41     46.10875403     46.11775672
                   -1.9           -0.36     46.37211908     46.37766202
                   -1.9           -0.31     46.60659788     46.60906336
                   -1.9           -0.26     46.81537488     46.81510247
