# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:30:10 2021
#
# Command line:   ./nu -e KARMEN -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   KARMEN
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   KARMEN
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# Initializing KARMEN and LSND codes ...
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                  -1.85           -1.36     6.881322634     6.881322634
                  -1.85           -1.31     6.882295394     6.882295394
                  -1.85           -1.26     6.883387548     6.883387548
                  -1.85           -1.21     6.884613844     6.884613844
                  -1.85           -1.16     6.885990879     6.885990879
                  -1.85           -1.11      6.88753733      6.88753733
                  -1.85           -1.06     6.889274229     6.889274229
                  -1.85           -1.01     6.891225265     6.891225265
                  -1.85           -0.96     6.893417135     6.893417135
                  -1.85           -0.91      6.89587994      6.89587994
                  -1.85           -0.86     6.898647634     6.898647634
                  -1.85           -0.81     6.901758546     6.901758546
                  -1.85           -0.76     6.905255972     6.905255972
                  -1.85           -0.71      6.90918885      6.90918885
                  -1.85           -0.66     6.913612545     6.913612545
                  -1.85           -0.61     6.918589745     6.918589745
                  -1.85           -0.56       6.9241915       6.9241915
                  -1.85           -0.51     6.930498423     6.930498423
                  -1.85           -0.46     6.937602076     6.937602076
                  -1.85           -0.41      6.94560659      6.94560659
                  -1.85           -0.36     6.954630542     6.954630542
                  -1.85           -0.31     6.964809154     6.964809154
                  -1.85           -0.26     6.976296852     6.976296852
                  -1.85           -0.21     6.989270281     6.989270281
                  -1.85           -0.16     7.003931832     7.003931832
                  -1.85           -0.11     7.020513798     7.020513798
                  -1.85           -0.06     7.039283271     7.039283271
                  -1.85           -0.01     7.060547916     7.060547916
                   -1.8           -4.01     6.873394898     6.873394898
                   -1.8           -3.96     6.873397622     6.873397622
                   -1.8           -3.91     6.873400678     6.873400678
                   -1.8           -3.86     6.873404106     6.873404106
                   -1.8           -3.81     6.873407953     6.873407953
                   -1.8           -3.76      6.87341227      6.87341227
                   -1.8           -3.71     6.873417113     6.873417113
                   -1.8           -3.66     6.873422548     6.873422548
                   -1.8           -3.61     6.873428645     6.873428645
                   -1.8           -3.56     6.873435486     6.873435486
                   -1.8           -3.51     6.873443163     6.873443163
                   -1.8           -3.46     6.873451775     6.873451775
                   -1.8           -3.41     6.873461439     6.873461439
                   -1.8           -3.36     6.873472282     6.873472282
                   -1.8           -3.31     6.873484449     6.873484449
                   -1.8           -3.26       6.8734981       6.8734981
                   -1.8           -3.21     6.873513416     6.873513416
                   -1.8           -3.16     6.873530602     6.873530602
                   -1.8           -3.11     6.873549885     6.873549885
                   -1.8           -3.06     6.873571521     6.873571521
                   -1.8           -3.01     6.873595798     6.873595798
                   -1.8           -2.96     6.873623037     6.873623037
                   -1.8           -2.91       6.8736536       6.8736536
                   -1.8           -2.86     6.873687894     6.873687894
                   -1.8           -2.81     6.873726372     6.873726372
                   -1.8           -2.76     6.873769547     6.873769547
                   -1.8           -2.71     6.873817992     6.873817992
                   -1.8           -2.66     6.873872349     6.873872349
                   -1.8           -2.61     6.873933341     6.873933341
                   -1.8           -2.56     6.874001778     6.874001778
                   -1.8           -2.51     6.874078569     6.874078569
                   -1.8           -2.46     6.874164735     6.874164735
                   -1.8           -2.41      6.87426142      6.87426142
                   -1.8           -2.36     6.874369909     6.874369909
                   -1.8           -2.31     6.874491645     6.874491645
                   -1.8           -2.26     6.874628246     6.874628246
                   -1.8           -2.21     6.874781528     6.874781528
                   -1.8           -2.16     6.874953532     6.874953532
                   -1.8           -2.11     6.875146545     6.875146545
                   -1.8           -2.06     6.875363138     6.875363138
                   -1.8           -2.01     6.875606193     6.875606193
                   -1.8           -1.96      6.87587895      6.87587895
                   -1.8           -1.91     6.876185045     6.876185045
                   -1.8           -1.86     6.876528558     6.876528558
                   -1.8           -1.81     6.876914074     6.876914074
                   -1.8           -1.76     6.877346741     6.877346741
                   -1.8           -1.71     6.877832342     6.877832342
                   -1.8           -1.66      6.87837737      6.87837737
                   -1.8           -1.61     6.878989122     6.878989122
                   -1.8           -1.56     6.879675798     6.879675798
                   -1.8           -1.51     6.880446611     6.880446611
                   -1.8           -1.46     6.881311918     6.881311918
                   -1.8           -1.41     6.882283363     6.882283363
