# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:38:10 2021
#
# Command line:   ./nu -e MUBOONE -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,40,LOGSCALE -p s22thmue,-4.,0.,40,LOGSCALE -p Um4,0.025,0.775,15 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    40  0x1
#     s22thmue,         -4,          0,    40  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2            -3.2           0.625     25.00324731           1e+50
                     -2            -3.2           0.675     25.00322615           1e+50
                     -2            -3.2           0.725     25.00320329           1e+50
                     -2            -3.2           0.775      25.0031787           1e+50
                     -2            -3.1           0.025     25.00329063           1e+50
                     -2            -3.1           0.075     25.00338084           1e+50
                     -2            -3.1           0.125     25.00338492           1e+50
                     -2            -3.1           0.175     25.00338208           1e+50
                     -2            -3.1           0.225     25.00337642           1e+50
                     -2            -3.1           0.275     25.00336874           1e+50
                     -2            -3.1           0.325     25.00335924           1e+50
                     -2            -3.1           0.375     25.00334803           1e+50
                     -2            -3.1           0.425     25.00333513           1e+50
                     -2            -3.1           0.475     25.00332057           1e+50
                     -2            -3.1           0.525     25.00330433           1e+50
                     -2            -3.1           0.575     25.00328643           1e+50
                     -2            -3.1           0.625     25.00326685           1e+50
                     -2            -3.1           0.675     25.00324558           1e+50
                     -2            -3.1           0.725     25.00322259           1e+50
                     -2            -3.1           0.775     25.00319786           1e+50
                     -2              -3           0.025     25.00328809           1e+50
                     -2              -3           0.075     25.00340281           1e+50
                     -2              -3           0.125     25.00340882           1e+50
                     -2              -3           0.175     25.00340649           1e+50
                     -2              -3           0.225     25.00340102           1e+50
                     -2              -3           0.275     25.00339341           1e+50
                     -2              -3           0.325     25.00338393           1e+50
                     -2              -3           0.375      25.0033727           1e+50
                     -2              -3           0.425     25.00335977           1e+50
                     -2              -3           0.475     25.00334515           1e+50
                     -2              -3           0.525     25.00332884           1e+50
                     -2              -3           0.575     25.00331085           1e+50
                     -2              -3           0.625     25.00329117           1e+50
                     -2              -3           0.675     25.00326978           1e+50
                     -2              -3           0.725     25.00324666           1e+50
                     -2              -3           0.775     25.00322176           1e+50
                     -2            -2.9           0.025     25.00328402           1e+50
                     -2            -2.9           0.075     25.00343005           1e+50
                     -2            -2.9           0.125      25.0034385           1e+50
                     -2            -2.9           0.175     25.00343682           1e+50
                     -2            -2.9           0.225      25.0034316           1e+50
                     -2            -2.9           0.275     25.00342408           1e+50
                     -2            -2.9           0.325     25.00341464           1e+50
                     -2            -2.9           0.375      25.0034034           1e+50
                     -2            -2.9           0.425     25.00339043           1e+50
                     -2            -2.9           0.475     25.00337574           1e+50
                     -2            -2.9           0.525     25.00335936           1e+50
                     -2            -2.9           0.575     25.00334127           1e+50
                     -2            -2.9           0.625     25.00332148           1e+50
                     -2            -2.9           0.675     25.00329995           1e+50
                     -2            -2.9           0.725     25.00327667           1e+50
                     -2            -2.9           0.775      25.0032516           1e+50
                     -2            -2.8           0.025     25.00327758           1e+50
                     -2            -2.8           0.075     25.00346385           1e+50
                     -2            -2.8           0.125     25.00347541           1e+50
                     -2            -2.8           0.175     25.00347456           1e+50
                     -2            -2.8           0.225     25.00346966           1e+50
                     -2            -2.8           0.275     25.00346227           1e+50
                     -2            -2.8           0.325     25.00345287           1e+50
                     -2            -2.8           0.375     25.00344163           1e+50
                     -2            -2.8           0.425     25.00342861           1e+50
                     -2            -2.8           0.475     25.00341387           1e+50
                     -2            -2.8           0.525      25.0033974           1e+50
                     -2            -2.8           0.575     25.00337921           1e+50
                     -2            -2.8           0.625     25.00335928           1e+50
                     -2            -2.8           0.675     25.00333761           1e+50
                     -2            -2.8           0.725     25.00331416           1e+50
                     -2            -2.8           0.775     25.00328888           1e+50
                     -2            -2.7           0.025     25.00326704           1e+50
                     -2            -2.7           0.075     25.00350585           1e+50
                     -2            -2.7           0.125     25.00352136           1e+50
