# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Tue Nov 16 10:52:10 2021
#
# Command line:   ./nu-tmp-gFe14 -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,20,LOGSCALE -p s22thmue,-4.,0.,20,LOGSCALE -p Um4,0.025,0.775,15 -e MUBOONE 
#
# Computing slice 1 of 1 in parallel environment.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    20  0x1
#     s22thmue,         -4,          0,    20  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU MUBOONE_SENSITIVITY 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2            -2.2           0.275 1.631552402e-06           1e+50
                     -2            -2.2           0.325 1.605005901e-06           1e+50
                     -2            -2.2           0.375 1.570778785e-06           1e+50
                     -2            -2.2           0.425 1.530138939e-06           1e+50
                     -2            -2.2           0.475 1.483818746e-06           1e+50
                     -2            -2.2           0.525 1.432324701e-06           1e+50
                     -2            -2.2           0.575 1.376054424e-06           1e+50
                     -2            -2.2           0.625  1.31535116e-06           1e+50
                     -2            -2.2           0.675 1.250525594e-06           1e+50
                     -2            -2.2           0.725 1.181860725e-06           1e+50
                     -2            -2.2           0.775 1.109597848e-06           1e+50
                     -2              -2           0.025           1e+50           1e+50
                     -2              -2           0.075 2.667499774e-06           1e+50
                     -2              -2           0.125 3.088664594e-06           1e+50
                     -2              -2           0.175  3.18874618e-06           1e+50
                     -2              -2           0.225 3.208224569e-06           1e+50
                     -2              -2           0.275  3.19442601e-06           1e+50
                     -2              -2           0.325 3.161728681e-06           1e+50
                     -2              -2           0.375 3.115753686e-06           1e+50
                     -2              -2           0.425 3.059123613e-06           1e+50
                     -2              -2           0.475 2.993248291e-06           1e+50
                     -2              -2           0.525 2.918984965e-06           1e+50
                     -2              -2           0.575 2.836913169e-06           1e+50
                     -2              -2           0.625 2.747456029e-06           1e+50
                     -2              -2           0.675 2.650932622e-06           1e+50
                     -2              -2           0.725 2.547567148e-06           1e+50
                     -2              -2           0.775 2.437461165e-06           1e+50
                     -2            -1.8           0.025           1e+50           1e+50
                     -2            -1.8           0.075    5.335754e-06           1e+50
                     -2            -1.8           0.125 6.365485432e-06           1e+50
                     -2            -1.8           0.175 6.623347051e-06           1e+50
                     -2            -1.8           0.225 6.697245522e-06           1e+50
                     -2            -1.8           0.275 6.699322401e-06           1e+50
                     -2            -1.8           0.325 6.663383596e-06           1e+50
                     -2            -1.8           0.375 6.602489396e-06           1e+50
                     -2            -1.8           0.425 6.522586752e-06           1e+50
                     -2            -1.8           0.475 6.426728708e-06           1e+50
                     -2            -1.8           0.525  6.31663229e-06           1e+50
                     -2            -1.8           0.575  6.19332846e-06           1e+50
                     -2            -1.8           0.625 6.057450363e-06           1e+50
                     -2            -1.8           0.675 5.909358446e-06           1e+50
                     -2            -1.8           0.725 5.749154214e-06           1e+50
                     -2            -1.8           0.775 5.576688561e-06           1e+50
                     -2            -1.6           0.025           1e+50           1e+50
                     -2            -1.6           0.075           1e+50           1e+50
                     -2            -1.6           0.125 1.385366009e-05           1e+50
                     -2            -1.6           0.175 1.452464871e-05           1e+50
                     -2            -1.6           0.225 1.474947197e-05           1e+50
                     -2            -1.6           0.275 1.480847517e-05           1e+50
                     -2            -1.6           0.325 1.478482503e-05           1e+50
                     -2            -1.6           0.375 1.471035915e-05           1e+50
                     -2            -1.6           0.425 1.459939609e-05           1e+50
                     -2            -1.6           0.475 1.445913063e-05           1e+50
                     -2            -1.6           0.525 1.429346167e-05           1e+50
                     -2            -1.6           0.575 1.410458595e-05           1e+50
                     -2            -1.6           0.625 1.389371087e-05           1e+50
                     -2            -1.6           0.675 1.366137096e-05           1e+50
                     -2            -1.6           0.725  1.34075188e-05           1e+50
                     -2            -1.6           0.775 1.313143175e-05           1e+50
                     -2            -1.4           0.025           1e+50           1e+50
                     -2            -1.4           0.075           1e+50           1e+50
                     -2            -1.4           0.125 3.131607489e-05           1e+50
                     -2            -1.4           0.175 3.312898903e-05           1e+50
                     -2            -1.4           0.225 3.377213516e-05           1e+50
                     -2            -1.4           0.275 3.400810468e-05           1e+50
                     -2            -1.4           0.325  3.40515833e-05           1e+50
                     -2            -1.4           0.375 3.398353249e-05           1e+50
                     -2            -1.4           0.425 3.384002386e-05           1e+50
                     -2            -1.4           0.475 3.363900139e-05           1e+50
                     -2            -1.4           0.525 3.339005296e-05           1e+50
                     -2            -1.4           0.575 3.309846788e-05           1e+50
                     -2            -1.4           0.625 3.276705916e-05           1e+50
                     -2            -1.4           0.675 3.239698685e-05           1e+50
                     -2            -1.4           0.725   3.1988042e-05           1e+50
                     -2            -1.4           0.775  3.15385014e-05           1e+50
                     -2            -1.2           0.025           1e+50           1e+50
                     -2            -1.2           0.075           1e+50           1e+50
                     -2            -1.2           0.125           1e+50           1e+50
                     -2            -1.2           0.175  7.76038248e-05           1e+50
                     -2            -1.2           0.225 7.944237778e-05           1e+50
                     -2            -1.2           0.275 8.020467377e-05           1e+50
                     -2            -1.2           0.325 8.048824651e-05           1e+50
                     -2            -1.2           0.375  8.05092357e-05           1e+50
                     -2            -1.2           0.425 8.036240489e-05           1e+50
                     -2            -1.2           0.475 8.009448695e-05           1e+50
                     -2            -1.2           0.525 7.973032186e-05           1e+50
                     -2            -1.2           0.575 7.928359277e-05           1e+50
                     -2            -1.2           0.625 7.876164703e-05           1e+50
                     -2            -1.2           0.675 7.816771588e-05           1e+50
                     -2            -1.2           0.725 7.750176473e-05           1e+50
                     -2            -1.2           0.775 7.676033714e-05           1e+50
                     -2              -1           0.025           1e+50           1e+50
                     -2              -1           0.075           1e+50           1e+50
                     -2              -1           0.125           1e+50           1e+50
                     -2              -1           0.175 0.0001844284433           1e+50
                     -2              -1           0.225 0.0001901815096           1e+50
                     -2              -1           0.275 0.0001925311561           1e+50
                     -2              -1           0.325 0.0001935873133           1e+50
                     -2              -1           0.375 0.0001939786419           1e+50
                     -2              -1           0.425 0.0001939683469           1e+50
                     -2              -1           0.475 0.0001936837901           1e+50
                     -2              -1           0.525 0.0001931921606           1e+50
                     -2              -1           0.575 0.0001925305588           1e+50
                     -2              -1           0.625 0.0001917193332           1e+50
                     -2              -1           0.675  0.000190768263           1e+50
                     -2              -1           0.725 0.0001896791253           1e+50
                     -2              -1           0.775 0.0001884457719           1e+50
                     -2            -0.8           0.025           1e+50           1e+50
                     -2            -0.8           0.075           1e+50           1e+50
                     -2            -0.8           0.125           1e+50           1e+50
                     -2            -0.8           0.175           1e+50           1e+50
                     -2            -0.8           0.225 0.0004593163826           1e+50
                     -2            -0.8           0.275 0.0004671796043           1e+50
                     -2            -0.8           0.325 0.0004707327304           1e+50
                     -2            -0.8           0.375 0.0004724169387           1e+50
                     -2            -0.8           0.425 0.0004730545168           1e+50
                     -2            -0.8           0.475  0.000473019077           1e+50
                     -2            -0.8           0.525 0.0004725027298           1e+50
                     -2            -0.8           0.575 0.0004716108719           1e+50
                     -2            -0.8           0.625 0.0004704021971           1e+50
                     -2            -0.8           0.675 0.0004689069755           1e+50
                     -2            -0.8           0.725 0.0004671349938           1e+50
                     -2            -0.8           0.775  0.000465076898           1e+50
                     -2            -0.6           0.025           1e+50           1e+50
                     -2            -0.6           0.075           1e+50           1e+50
                     -2            -0.6           0.125           1e+50           1e+50
                     -2            -0.6           0.175           1e+50           1e+50
                     -2            -0.6           0.225           1e+50           1e+50
                     -2            -0.6           0.275  0.001137374364           1e+50
                     -2            -0.6           0.325  0.001151138235           1e+50
                     -2            -0.6           0.375  0.001157418772           1e+50
                     -2            -0.6           0.425   0.00116051768           1e+50
                     -2            -0.6           0.475  0.001161771145           1e+50
                     -2            -0.6           0.525   0.00116179622           1e+50
                     -2            -0.6           0.575  0.001160917425           1e+50
                     -2            -0.6           0.625  0.001159314179           1e+50
                     -2            -0.6           0.675  0.001157082796           1e+50
                     -2            -0.6           0.725  0.001154263212           1e+50
